Chromosome	Start	Stop	Length	Strand	Gene Symbol	gene_biotype	gene_id	gene_name	gene_source	gene_version	r542	r543	r544	r545	r546	r547	r548	r549
21	46161148	46184477	23329	-	ENSG00000160284	protein_coding	ENSG00000160284	SPATC1L	ensembl_havana	15	1.02074	1.00294	1.00776	1.00125	1	1	1.00507	1.01076
21	46188141	46228825	40684	-	ENSG00000160285	protein_coding	ENSG00000160285	LSS	ensembl_havana	15	1.61334	1.48611	1.17732	1.20863	2.30832	2.50534	1.6792	1.85144
9	133761894	133992605	230711	-	ENSG00000160293	protein_coding	ENSG00000160293	VAV2	ensembl_havana	17	1.09413	1.08453	1.08764	1.08107	1.03005	1.03744	1.02513	1.03373
21	46235133	46286298	51165	-	ENSG00000160294	protein_coding	ENSG00000160294	MCM3AP	ensembl_havana	11	2.59841	2.51208	3.0345	3.15941	3.17916	3.24685	2.64365	3.25329
21	46300181	46323876	23695	-	ENSG00000160298	protein_coding	ENSG00000160298	C21orf58	ensembl_havana	18	1.2119	1.20142	1.05674	1.06917	1.21158	1.26417	1.15857	1.19371
21	46324124	46445770	121646	+	ENSG00000160299	protein_coding	ENSG00000160299	PCNT	ensembl_havana	19	1.27624	1.32854	1.18046	1.23002	1.42932	1.41742	1.44823	1.69863
21	46458891	46570016	111125	+	ENSG00000160305	protein_coding	ENSG00000160305	DIP2A	ensembl_havana	18	1.18944	1.20609	1.09982	1.1072	1.26115	1.27466	1.19116	1.27332
21	46635595	46665125	29530	+	ENSG00000160310	protein_coding	ENSG00000160310	PRMT2	ensembl_havana	19	1.41482	1.44067	1.1506	1.13777	2.00408	1.94879	1.58208	1.94717
19	21932958	22010950	77992	-	ENSG00000160321	protein_coding	ENSG00000160321	ZNF208	ensembl_havana	16	1	1	1	1	1	1	1.00152	1.00312
9	133414358	133459403	45045	+	ENSG00000160323	protein_coding	ENSG00000160323	ADAMTS13	ensembl_havana	19	1.02552	1.01753	1	1.00065	1.00254	1.00389	1.00066	1
9	133459965	133470849	10884	+	ENSG00000160325	protein_coding	ENSG00000160325	CACFD1	ensembl_havana	15	1.44741	1.59307	1.01188	1.02689	1.79226	1.86037	1.35065	1.32617
9	133471094	133479128	8034	-	ENSG00000160326	protein_coding	ENSG00000160326	SLC2A6	ensembl_havana	14	1.71154	1.73508	1.96873	2.19861	1.18542	1.21504	1.64075	1.78556
19	53431984	53461863	29879	+	ENSG00000160336	protein_coding	ENSG00000160336	ZNF761	ensembl_havana	17	2.44608	2.35065	1.17827	1.18416	1.98864	1.94394	1.19116	1.33364
9	135495181	135501735	6554	-	ENSG00000160345	protein_coding	ENSG00000160345	PIERCE1	ensembl_havana	13	1.01846	1.01572	1.02762	1.00893	1.00874	1.00382	1	1
19	21082159	21125271	43112	+	ENSG00000160352	protein_coding	ENSG00000160352	ZNF714	ensembl_havana	16	1.75215	1.77695	1.12055	1.1469	2.54612	2.37746	1.57585	1.79165
9	136327476	136359606	32130	+	ENSG00000160360	protein_coding	ENSG00000160360	GPSM1	ensembl_havana	13	1.04895	1.06091	1.03782	1.06165	1.02407	1.01714	1.02394	1.03906
19	40319536	40348528	28992	-	ENSG00000160392	protein_coding	ENSG00000160392	C19orf47	ensembl_havana	14	1.21491	1.2262	1.12397	1.10197	1.25494	1.29968	1.20715	1.30674
9	127706988	127716003	9015	+	ENSG00000160401	protein_coding	ENSG00000160401	CFAP157	ensembl_havana	15	1.12808	1.10704	1.0779	1.14819	1.08249	1.08744	1.0394	1.02789
9	127731524	127735314	3790	-	ENSG00000160404	protein_coding	ENSG00000160404	TOR2A	ensembl_havana	18	1.50277	1.4892	1.28654	1.27802	1.41573	1.19819	1.36689	1.37846
9	127885321	127905409	20088	-	ENSG00000160408	protein_coding	ENSG00000160408	ST6GALNAC6	ensembl_havana	16	1.41372	1.47455	1.14173	1.24697	1.25678	1.2466	1.31097	1.41529
19	40576853	40591400	14547	+	ENSG00000160410	protein_coding	ENSG00000160410	SHKBP1	ensembl_havana	15	1.36594	1.28559	1.40703	1.30784	1.40174	1.42513	1.3132	1.43631
19	55039108	55071292	32184	-	ENSG00000160439	protein_coding	ENSG00000160439	RDH13	ensembl_havana	16	1.80088	1.80278	1.09066	1.09024	1.27191	1.3051	1.2303	1.26581
9	128729786	128772415	42629	-	ENSG00000160445	protein_coding	ENSG00000160445	ZER1	ensembl_havana	11	1.42926	1.39627	1.22139	1.17302	1.3219	1.32245	1.18044	1.25824
9	128720870	128724128	3258	-	ENSG00000160446	protein_coding	ENSG00000160446	ZDHHC12	ensembl_havana	19	5.25193	4.51991	3.55549	4.55759	4.64033	4.96554	2.33487	2.67298
9	128702503	128720917	18414	+	ENSG00000160447	protein_coding	ENSG00000160447	PKN3	ensembl_havana	7	1.20696	1.19392	1.01264	1.00477	1.15869	1.18764	1.1928	1.22589
19	40466241	40576465	110224	+	ENSG00000160460	protein_coding	ENSG00000160460	SPTBN4	ensembl_havana	17	1.00302	1.00654	1.00023	1.00053	1.00078	1.00182	1.00134	1.0026
19	55282072	55312563	30491	+	ENSG00000160469	protein_coding	ENSG00000160469	BRSK1	ensembl_havana	17	1.00198	1.00338	1.09202	1.06624	1.00188	1.00493	1.02133	1.01058
19	55349306	55354720	5414	-	ENSG00000160471	protein_coding	ENSG00000160471	COX6B2	ensembl_havana	13	1.35807	1.33546	1.04776	1.01081	1.01058	1.00462	1.00546	1
9	131289459	131359023	69564	+	ENSG00000160539	protein_coding	ENSG00000160539	PLPP7	ensembl_havana	6	1	1	1	1	1.00124	1.0036	1	1
17	29390363	29551904	161541	+	ENSG00000160551	protein_coding	ENSG00000160551	TAOK1	ensembl_havana	12	3.80069	3.93951	2.02759	1.98766	3.22455	3.18235	3.48819	4.54834
9	131852928	132079868	226940	-	ENSG00000160563	protein_coding	ENSG00000160563	MED27	ensembl_havana	14	1.01764	1.01296	1.01535	1.01578	1.01322	1.00968	1.01215	1.01295
19	42198598	42220141	21543	-	ENSG00000160570	protein_coding	ENSG00000160570	DEDD2	ensembl_havana	14	1.81291	1.62955	1.5425	1.53395	1.40825	1.41259	1.37079	1.40448
11	116843402	117098438	255036	-	ENSG00000160584	protein_coding	ENSG00000160584	SIK3	ensembl_havana	17	1.17018	1.15765	1.03143	1.0365	1.10121	1.10387	1.06253	1.08802
11	118226690	118252366	25676	-	ENSG00000160588	protein_coding	ENSG00000160588	MPZL3	ensembl_havana	10	5.37628	4.76569	1.6455	1.52894	3.65323	3.60659	1.06337	1.05167
17	28725897	28743456	17559	+	ENSG00000160602	protein_coding	ENSG00000160602	NEK8	ensembl_havana	14	1.10508	1.09386	1.00589	1.01295	1.06526	1.05133	1.04718	1.10415
17	28724348	28727936	3588	-	ENSG00000160606	protein_coding	ENSG00000160606	TLCD1	ensembl_havana	11	1.67439	1.7177	1.08648	1.06526	1.42317	1.36985	1.42877	1.62963
11	117204337	117232526	28189	-	ENSG00000160613	protein_coding	ENSG00000160613	PCSK7	ensembl_havana	15	1.84197	1.87565	1.2636	1.31465	1.55164	1.55582	1.28241	1.49045
19	5623035	5668479	45444	+	ENSG00000160633	protein_coding	ENSG00000160633	SAFB	ensembl_havana	13	1.16036	1.18962	1.22966	1.21559	1.25658	1.2095	1.13636	1.26718
1	153627926	153632040	4114	+	ENSG00000160678	protein_coding	ENSG00000160678	S100A1	ensembl_havana	12	1.17645	1.20505	1.06315	1.08547	1.25149	1.21146	1.01459	1.0523
1	153633982	153646307	12325	+	ENSG00000160679	protein_coding	ENSG00000160679	CHTOP	ensembl_havana	14	3.43903	3.85544	4.64822	4.88712	6.12663	6.10309	2.92232	3.85699
1	155002630	155018524	15894	+	ENSG00000160685	protein_coding	ENSG00000160685	ZBTB7B	ensembl_havana	14	1.46814	1.3802	1.34163	1.37383	2.01477	2.21772	1.13588	1.15116
1	154983338	154993112	9774	+	ENSG00000160688	protein_coding	ENSG00000160688	FLAD1	ensembl_havana	19	2.20069	2.41921	1.92061	1.9463	3.3243	3.1006	1.49944	1.67873
1	154962298	154974396	12098	-	ENSG00000160691	protein_coding	ENSG00000160691	SHC1	ensembl_havana	19	5.22607	4.77872	16.8879	16.4518	6.27846	6.71413	7.14697	8.94534
11	119067818	119081973	14155	+	ENSG00000160695	protein_coding	ENSG00000160695	VPS11	ensembl_havana	16	3.70946	3.22916	3.27238	3.34073	1.88038	1.92511	2.05967	2.46678
11	119166568	119184017	17449	+	ENSG00000160703	protein_coding	ENSG00000160703	NLRX1	ensembl_havana	17	2.34339	1.85203	1.72758	1.85045	1.69612	1.78204	1.15429	1.12536
1	154581695	154628014	46319	-	ENSG00000160710	protein_coding	ENSG00000160710	ADAR	ensembl_havana	18	7.17991	6.48911	4.59612	4.86593	6.01593	6.21744	3.38564	4.30811
1	154405193	154469451	64258	+	ENSG00000160712	protein_coding	ENSG00000160712	IL6R	ensembl_havana	13	1.05978	1.05023	1.08973	1.10158	1.04102	1.03896	1.05018	1.06585
1	154548577	154559029	10452	-	ENSG00000160714	protein_coding	ENSG00000160714	UBE2Q1	ensembl_havana	10	5.0716	4.45254	2.6921	2.97705	5.9665	6.04499	3.63243	4.80134
1	154567778	154580014	12236	+	ENSG00000160716	protein_coding	ENSG00000160716	CHRNB2	ensembl_havana	6	1.01236	1.03367	1.00919	1.00718	1.03278	1.01432	1.00484	1.02344
1	153947669	153958616	10947	-	ENSG00000160741	protein_coding	ENSG00000160741	CRTC2	ensembl_havana	17	1.65482	1.60847	1.75347	1.82084	2.23259	2.31515	1.58105	1.68134
3	43354859	43691595	336736	-	ENSG00000160746	protein_coding	ENSG00000160746	ANO10	ensembl_havana	13	1.03728	1.03181	1.05137	1.04824	1.05317	1.04774	1.10798	1.15271
1	155308748	155320667	11919	+	ENSG00000160752	protein_coding	ENSG00000160752	FDPS	ensembl_havana	15	2.25677	2.16304	2.00377	2.02588	3.04037	3.32975	2.14244	2.20444
1	155320894	155331115	10221	+	ENSG00000160753	protein_coding	ENSG00000160753	RUSC1	ensembl_havana	17	1.58001	1.51396	1.52618	1.6615	1.63064	1.84759	1.97256	2.0911
1	155247205	155255484	8279	-	ENSG00000160767	protein_coding	ENSG00000160767	ENTREP3	ensembl_havana	23	1.87681	1.82945	2.03688	2.12778	3.67827	4.07267	1.99344	2.14779
1	156243320	156248118	4798	-	ENSG00000160781	protein_coding	ENSG00000160781	PAQR6	ensembl_havana	17	1.21433	1.28624	1.02694	1.0183	1.17315	1.14612	1.04316	1.03737
1	156212993	156240043	27050	+	ENSG00000160783	protein_coding	ENSG00000160783	PMF1	ensembl_havana	19	1.60896	1.60039	1.27147	1.23264	1.78185	1.73478	1.24609	1.38311
1	156193932	156212797	18865	+	ENSG00000160785	protein_coding	ENSG00000160785	SLC25A44	ensembl_havana	14	3.53642	3.43704	1.5784	1.70128	3.372	3.74341	2.08367	2.1671
1	156082573	156140082	57509	+	ENSG00000160789	protein_coding	ENSG00000160789	LMNA	ensembl_havana	24	5.30172	4.66641	2.92386	3.21599	3.93505	4.42296	2.89162	3.50724
3	46979666	47009705	30039	+	ENSG00000160796	protein_coding	ENSG00000160796	NBEAL2	ensembl_havana	18	1.49741	1.57265	1.06628	1.10036	1.75818	1.771	1.2413	1.42139
3	46921726	46982011	60285	-	ENSG00000160799	protein_coding	ENSG00000160799	CCDC12	ensembl_havana	12	1.07325	1.06778	1.08535	1.09516	1.08696	1.08099	1.07509	1.09696
1	156035299	156053799	18500	-	ENSG00000160803	protein_coding	ENSG00000160803	UBQLN4	ensembl_havana	8	2.29426	2.1964	1.57698	1.74769	2.21717	2.30436	1.48643	1.71054
3	46835111	46882179	47068	-	ENSG00000160808	protein_coding	ENSG00000160808	MYL3	ensembl_havana	12	1.01864	1.0197	1.00165	1.00062	1.00061	1	1.0176	1.00533
7	100435282	100436498	1216	-	ENSG00000160813	protein_coding	ENSG00000160813	PPP1R35	ensembl_havana	7	2.66653	2.27062	3.50909	4.10505	3.68573	3.42969	2.94639	3.62454
1	156594301	156601497	7196	-	ENSG00000160818	protein_coding	ENSG00000160818	GPATCH4	ensembl_havana	17	3.07423	2.68731	2.9889	2.68398	2.45307	2.13199	1.84048	2.20728
7	99966720	99976043	9323	-	ENSG00000160862	protein_coding	ENSG00000160862	AZGP1	ensembl_havana	13	1.21737	1.15836	1.0416	1.02512	11.8718	11.4325	1.02221	1.01154
5	177086905	177098145	11240	+	ENSG00000160867	protein_coding	ENSG00000160867	FGFR4	ensembl_havana	15	1.27986	1.24132	1	1.0026	1.05607	1.07574	1.01579	1.00957
7	99756960	99784249	27289	-	ENSG00000160868	protein_coding	ENSG00000160868	CYP3A4	ensembl_havana	16	1	1	1	1.00322	1	1.00275	1.00217	1.00263
7	99705036	99735197	30161	-	ENSG00000160870	protein_coding	ENSG00000160870	CYP3A7	havana	15	1.001	1	1	1.00194	1.01222	1	1	1
19	13116862	13141148	24286	+	ENSG00000160877	protein_coding	ENSG00000160877	NACC1	ensembl_havana	7	6.75373	5.94243	4.78396	5.2037	5.82921	6.94348	3.87863	4.01949
8	142700111	142705128	5017	+	ENSG00000160886	protein_coding	ENSG00000160886	LY6K	ensembl_havana	13	1	1.03696	1.7779	2.27534	1.016	1.05049	1.18438	1.12482
19	13150411	13154912	4501	+	ENSG00000160888	protein_coding	ENSG00000160888	IER2	ensembl_havana	7	5.1652	5.15478	7.00314	7.88642	5.35986	6.50157	3.24797	4.66475
7	99473877	99504858	30981	-	ENSG00000160908	protein_coding	ENSG00000160908	ZNF394	ensembl_havana	15	1.1797	1.20344	1.09606	1.12938	1.23204	1.29188	1.08071	1.14592
7	99438922	99457374	18452	+	ENSG00000160917	protein_coding	ENSG00000160917	CPSF4	ensembl_havana	15	1.50346	1.48008	1.63478	1.80106	1.86167	1.96749	1.5259	1.68795
8	143017982	143023833	5851	+	ENSG00000160932	protein_coding	ENSG00000160932	LY6E	ensembl_havana	11	37.4964	29.8306	5.97153	6.29258	24.262	26.046	4.02879	4.84267
8	144423601	144428564	4963	-	ENSG00000160948	protein_coding	ENSG00000160948	VPS28	ensembl_havana	14	3.43773	2.62577	1.6356	1.73129	2.03324	2.19565	1.98955	2.17771
8	144428775	144444441	15666	-	ENSG00000160949	protein_coding	ENSG00000160949	TONSL	ensembl_havana	18	3.18168	3.41085	1.31854	1.41851	1.9637	2.13635	2.27096	2.43289
19	1354711	1378432	23721	+	ENSG00000160953	protein_coding	ENSG00000160953	PWWP3A	ensembl_havana	17	1.72191	1.69083	1.39754	1.41697	1.49011	1.50368	1.40603	1.54144
8	144511288	144517846	6558	-	ENSG00000160957	protein_coding	ENSG00000160957	RECQL4	ensembl_havana	15	6.43602	6.2328	2.20938	2.48623	3.39824	3.81664	3.78798	3.95173
8	144517992	144525173	7181	+	ENSG00000160959	protein_coding	ENSG00000160959	LRRC14	ensembl_havana	8	4.87965	5.26714	1.73454	1.89947	2.22388	2.48907	2.0547	2.61792
19	14689801	14733747	43946	+	ENSG00000160961	protein_coding	ENSG00000160961	ZNF333	ensembl_havana	12	1.19615	1.21618	1.12304	1.12655	1.14483	1.15314	1.13666	1.19665
7	101362875	101559025	196150	+	ENSG00000160963	protein_coding	ENSG00000160963	COL26A1	ensembl_havana	14	1	1	1	1	1.00453	1.00779	1	1
8	144477969	144502122	24153	+	ENSG00000160972	protein_coding	ENSG00000160972	PPP1R16A	ensembl_havana	10	2.23752	1.92205	1.19504	1.20718	1.57075	1.66233	1.41864	1.45063
8	144473412	144475850	2438	-	ENSG00000160973	protein_coding	ENSG00000160973	FOXH1	ensembl_havana	8	1.05727	1.14817	1	1	1.05158	1.04655	1.05131	1.11144
7	102433106	102456826	23720	+	ENSG00000160991	protein_coding	ENSG00000160991	ORAI2	ensembl_havana	17	1.26331	1.2751	1.39558	1.37606	1.24002	1.26024	1.26927	1.35904
7	102456238	102464864	8626	-	ENSG00000160993	protein_coding	ENSG00000160993	ALKBH4	ensembl_havana	4	1.32786	1.32222	1.12021	1.16369	1.4924	1.80536	1.27819	1.26399
7	102285091	102321712	36621	+	ENSG00000160999	protein_coding	ENSG00000160999	SH2B2	ensembl_havana	11	1.0223	1.02156	1.01483	1.01439	1.05085	1.04991	1.01858	1.03623
5	179835133	179862174	27041	-	ENSG00000161010	protein_coding	ENSG00000161010	MRNIP	ensembl_havana	16	1.56982	1.73468	1.30804	1.2604	1.28133	1.28003	1.17947	1.2566
5	179806398	179838079	31681	+	ENSG00000161011	protein_coding	ENSG00000161011	SQSTM1	ensembl_havana	20	22.9926	22.9522	11.7607	11.5993	7.29119	8.1091	7.67882	7.86983
5	179797597	179806953	9356	-	ENSG00000161013	protein_coding	ENSG00000161013	MGAT4B	ensembl_havana	17	14.9042	12.7139	8.96467	9.07438	13.0672	13.805	5.85074	7.69561
8	144789765	144792588	2823	-	ENSG00000161016	protein_coding	ENSG00000161016	RPL8	ensembl_havana	18	455.027	361.954	146.993	165.26	169.829	189.631	125.133	105.957
5	179732822	179777284	44462	+	ENSG00000161021	protein_coding	ENSG00000161021	MAML1	ensembl_havana	13	1.82313	1.92436	1.52629	1.57272	2.04509	2.05194	1.53033	1.80489
7	102464956	102473169	8213	+	ENSG00000161036	protein_coding	ENSG00000161036	LRWD1	ensembl_havana	13	1.63343	1.43478	1.8941	2.09408	1.67669	1.96031	1.4899	1.57633
7	102811189	103074840	263651	-	ENSG00000161040	protein_coding	ENSG00000161040	FBXL13	ensembl_havana	19	1.07032	1.07032	1.27646	1.17374	1.00888	1.00484	1.02671	1.02639
7	103099776	103149561	49785	-	ENSG00000161048	protein_coding	ENSG00000161048	NAPEPLD	ensembl_havana	12	1.57959	1.55863	1.49963	1.52442	1.59557	1.55774	1.34705	1.48114
7	103328570	103370347	41777	+	ENSG00000161057	protein_coding	ENSG00000161057	PSMC2	ensembl_havana	13	2.15188	2.03637	1.76745	1.82532	2.26311	2.30219	1.75899	2.04116
19	3224661	3297077	72416	+	ENSG00000161082	protein_coding	ENSG00000161082	CELF5	ensembl_havana	13	1.00084	1.00095	1	1	1.00079	1.00242	1.00041	1
19	3538261	3574291	36030	-	ENSG00000161091	protein_coding	ENSG00000161091	MFSD12	ensembl_havana	15	1.31564	1.29637	3.41417	3.67748	1.61542	1.72133	1.48611	1.60611
22	21628089	21630065	1976	-	ENSG00000161179	protein_coding	ENSG00000161179	YDJC	ensembl_havana	14	4.33688	3.60639	3.47311	3.56255	3.24717	4.18045	2.4523	2.63325
3	184155377	184173615	18238	+	ENSG00000161202	protein_coding	ENSG00000161202	DVL3	ensembl_havana	20	6.65187	6.30895	2.97063	3.18099	4.34888	4.58588	2.6319	3.04088
3	184174689	184184215	9526	+	ENSG00000161203	protein_coding	ENSG00000161203	AP2M1	ensembl_havana	14	37.1356	31.9789	28.5497	31.071	26.6104	28.3378	17.4852	22.0613
3	184186095	184194013	7918	+	ENSG00000161204	protein_coding	ENSG00000161204	ABCF3	ensembl_havana	12	4.87723	4.9417	2.12334	2.46014	3.06229	3.14079	3.15218	3.55876
3	196214222	196287958	73736	-	ENSG00000161217	protein_coding	ENSG00000161217	PCYT1A	ensembl_havana	12	4.26725	4.11423	1.89979	1.83835	2.42432	2.55689	2.25303	2.56302
19	38990714	39032786	42072	-	ENSG00000161243	protein_coding	ENSG00000161243	FBXO27	ensembl_havana	10	1.28397	1.26034	1.00123	1.00139	1.02792	1.03928	1.18354	1.19177
19	35497220	35513659	16439	-	ENSG00000161249	protein_coding	ENSG00000161249	DMKN	ensembl_havana	21	2.09474	2.19469	1.00157	1.00178	1.63433	1.63361	1.0252	1.03272
19	35742464	35745446	2982	-	ENSG00000161265	protein_coding	ENSG00000161265	U2AF1L4	ensembl_havana	15	1.62886	1.39148	1.54626	1.52986	1.64366	1.68011	1.36709	1.43118
3	197509783	197573324	63541	-	ENSG00000161267	protein_coding	ENSG00000161267	BDH1	ensembl_havana	12	1.30845	1.29341	1.04517	1.05297	1.24031	1.25574	1.17926	1.27709
19	36034984	36054740	19756	-	ENSG00000161277	protein_coding	ENSG00000161277	THAP8	ensembl_havana	11	1.01684	1.00869	1.00131	1.00296	1.01885	1.02915	1.02696	1.02541
19	36604817	36634115	29298	+	ENSG00000161298	protein_coding	ENSG00000161298	ZNF382	ensembl_havana	19	1.43876	1.49338	1.00177	1.001	1.81451	1.68624	1.0101	1.01102
11	537527	554913	17386	+	ENSG00000161328	protein_coding	ENSG00000161328	LRRC56	ensembl_havana	11	1.0174	1.01382	1.00297	1.01178	1.02636	1.01728	1.01361	1.01031
17	39063313	39154395	91082	-	ENSG00000161381	protein_coding	ENSG00000161381	PLXDC1	ensembl_havana	14	1.00066	1.00075	1	1	1.00377	1.00275	1	1.00039
17	39671122	39696798	25676	-	ENSG00000161395	protein_coding	ENSG00000161395	PGAP3	ensembl_havana	14	1.05654	1.02541	1.0282	1.00798	1.10711	1.14042	1.04839	1.0405
17	39757718	39864313	106595	-	ENSG00000161405	protein_coding	ENSG00000161405	IKZF3	ensembl_havana	17	1.00028	1.00064	1	1	1.00323	1.00258	1.00278	1.0037
17	74842023	74861505	19482	-	ENSG00000161509	protein_coding	ENSG00000161509	GRIN2C	ensembl_havana	14	1.00932	1.01057	1	1	1.00882	1.01157	1.00152	1.00184
17	74862497	74873032	10535	-	ENSG00000161513	protein_coding	ENSG00000161513	FDXR	ensembl_havana	12	1.36749	1.34547	1.17917	1.18059	1.35623	1.5799	1.26117	1.25188
17	75667251	75708063	40812	+	ENSG00000161526	protein_coding	ENSG00000161526	SAP30BP	ensembl_havana	15	1.19714	1.20023	1.17549	1.16567	1.23796	1.23865	1.17108	1.25656
17	75941507	75979178	37671	-	ENSG00000161533	protein_coding	ENSG00000161533	ACOX1	ensembl_havana	12	3.986	3.77535	1.91563	2.02249	6.1433	5.90097	2.69243	3.33215
17	76309478	76384522	75044	-	ENSG00000161542	protein_coding	ENSG00000161542	PRPSAP1	ensembl_havana	17	1.28012	1.19903	1.11646	1.12247	1.38251	1.38603	1.26138	1.3622
17	76527356	76551176	23820	-	ENSG00000161544	protein_coding	ENSG00000161544	CYGB	ensembl_havana	10	1.00254	1.00432	1	1.00246	1.0012	1	1.02236	1.02258
17	76734115	76737334	3219	-	ENSG00000161547	protein_coding	ENSG00000161547	SRSF2	ensembl_havana	17	72.1946	74.6192	59.6448	62.9755	98.9239	96.3104	78.4407	99.7531
19	51804816	51890951	86135	-	ENSG00000161551	protein_coding	ENSG00000161551	ZNF577	ensembl_havana	15	1.08076	1.10882	1.01021	1.00917	1.07716	1.07878	1.03847	1.08285
19	48332356	48364060	31704	-	ENSG00000161558	protein_coding	ENSG00000161558	TMEM143	ensembl_havana	11	1.07441	1.08014	1.01713	1.012	1.02169	1.0229	1.03359	1.03054
17	41835685	41848385	12700	+	ENSG00000161594	protein_coding	ENSG00000161594	KLHL10	ensembl_havana	7	1	1.00811	1	1	1.01128	1.00197	1.00233	1
19	49453225	49471051	17826	+	ENSG00000161618	protein_coding	ENSG00000161618	ALDH16A1	ensembl_havana	10	1.75675	1.61442	1.66142	1.80291	2.19727	2.37228	1.81323	1.94545
12	54395261	54419267	24006	-	ENSG00000161638	protein_coding	ENSG00000161638	ITGA5	ensembl_havana	11	1.82652	1.61358	8.1559	8.26293	1.11576	1.09387	2.56146	3.11365
12	54369133	54391299	22166	-	ENSG00000161642	protein_coding	ENSG00000161642	ZNF385A	ensembl_havana	18	1.28792	1.24784	1.00467	1.00132	1.07108	1.05987	1.02803	1.03883
19	49969600	49975820	6220	+	ENSG00000161643	protein_coding	ENSG00000161643	SIGLEC16	havana	13	1.00486	1.01104	1	1.00471	1.01382	1.02013	1.02378	1.0173
17	43800799	43833171	32372	-	ENSG00000161647	protein_coding	ENSG00000161647	MPP3	ensembl_havana	19	1.05886	1.11349	1.04872	1.0443	1.07522	1.08044	1.08682	1.18388
17	44004622	44009069	4447	+	ENSG00000161653	protein_coding	ENSG00000161653	NAGS	ensembl_havana	11	1.06801	1.06177	1.02907	1.05265	1.05798	1.03378	1.61206	1.99182
17	44034328	44067620	33292	-	ENSG00000161654	protein_coding	ENSG00000161654	LSM12	ensembl_havana	10	3.94912	3.84004	2.63159	2.86011	3.48117	3.62136	3.08633	3.53101
17	44170447	44179085	8638	+	ENSG00000161664	protein_coding	ENSG00000161664	ASB16	ensembl_havana	7	1.02582	1.0269	1	1	1.03332	1.02638	1.00342	1.00415
19	50476400	50490872	14472	+	ENSG00000161671	protein_coding	ENSG00000161671	EMC10	ensembl_havana	17	3.41925	3.05227	1.41093	1.47933	1.00594	1.00519	1.51107	1.76564
19	50505998	50511221	5223	-	ENSG00000161677	protein_coding	ENSG00000161677	JOSD2	ensembl_havana	12	1.48065	1.18407	1.25247	1.17933	1.13164	1.10067	1.09629	1.04806
19	50659255	50719803	60548	-	ENSG00000161681	protein_coding	ENSG00000161681	SHANK1	ensembl_havana	17	1.001	1	1	1.00097	1	1	1.00489	1.00711
17	44353215	44363854	10639	-	ENSG00000161682	protein_coding	ENSG00000161682	FAM171A2	ensembl_havana	15	1.06255	1.06455	1.00972	1.01651	1.0727	1.05178	1.0584	1.0573
17	44708608	44752265	43657	+	ENSG00000161692	protein_coding	ENSG00000161692	DBF4B	ensembl_havana	18	1.11293	1.1219	1.04975	1.07174	1.21523	1.25694	1.20127	1.27763
17	45108959	45133355	24396	-	ENSG00000161714	protein_coding	ENSG00000161714	PLCD3	ensembl_havana	12	5.20053	4.49324	1.32114	1.4751	1.50377	1.53266	3.29202	3.36943
12	49636499	49708166	71667	-	ENSG00000161791	protein_coding	ENSG00000161791	FMNL3	ensembl_havana	14	1.04123	1.05173	1.99915	1.94196	1.2644	1.25684	1.33673	1.52985
12	49961872	49965683	3811	+	ENSG00000161798	protein_coding	ENSG00000161798	AQP5	ensembl_havana	7	1.03968	1.03604	1	1	1.2631	1.33507	1.06987	1.06587
12	49976923	50033137	56214	-	ENSG00000161800	protein_coding	ENSG00000161800	RACGAP1	ensembl_havana	13	4.19816	3.86378	2.82087	2.90397	4.39187	4.34858	4.00915	4.67344
12	50392383	50480005	87622	+	ENSG00000161813	protein_coding	ENSG00000161813	LARP4	ensembl_havana	23	3.36801	3.42547	2.66562	2.75997	2.94425	2.83477	3.09795	3.69155
19	10316212	10333530	17318	-	ENSG00000161847	protein_coding	ENSG00000161847	RAVER1	ensembl_havana	15	2.75776	2.33436	1.78044	2.02721	4.51569	5.6371	2.41568	2.18598
19	12898786	12919294	20508	-	ENSG00000161860	protein_coding	ENSG00000161860	SYCE2	ensembl_havana	8	1.08947	1.07642	1.00504	1.00856	1.04378	1.03506	1.02391	1.02818
19	11131520	11155808	24288	-	ENSG00000161888	protein_coding	ENSG00000161888	SPC24	ensembl_havana	12	3.00497	2.5112	2.15932	2.34609	4.14456	4.49471	2.78572	2.79974
6	33771202	33789131	17929	-	ENSG00000161904	protein_coding	ENSG00000161904	LEMD2	ensembl_havana	13	1.82494	1.65495	1.64609	1.6628	1.72382	1.93846	1.50164	1.72002
17	4630919	4642295	11376	-	ENSG00000161905	protein_coding	ENSG00000161905	ALOX15	ensembl_havana	13	1.03722	1.00604	1	1.00257	1.34248	1.29053	1	1
6	41101022	41138728	37706	+	ENSG00000161912	transcribed_unprocessed_pseudogene	ENSG00000161912	ADCY10P1	havana	19	1.00246	1.00143	1	1.00078	1	1.00066	1.00756	1.01213
19	11483427	11505840	22413	-	ENSG00000161914	protein_coding	ENSG00000161914	ZNF653	ensembl_havana	10	1.0108	1.01379	1.00541	1.00392	1.03323	1.03637	1.01716	1.008
17	4731428	4733609	2181	+	ENSG00000161920	protein_coding	ENSG00000161920	MED11	ensembl_havana	11	1.24962	1.17317	1.04742	1	1.21016	1.13776	1.36625	1.36171
17	4733533	4739929	6396	-	ENSG00000161921	protein_coding	ENSG00000161921	CXCL16	ensembl_havana	17	4.29134	3.76998	1.07277	1.10068	2.5363	2.35838	1.00463	1.05046
